id,geom,amenities_500,leisure_500
9562515,"40.68965,-73.97169",46,8
9562872,"40.72478,-73.85579",24,4
9563266,"40.71582,-73.98812",121,24
9563436,"40.71927,-73.99943",206,12
9563529,"40.86458,-73.92883",13,5
9563868,"40.71143,-74.00596",110,23
9563873,"40.69009,-73.79555",0,2
9564986,"40.71731,-73.943",30,6
9571665,"40.71032,-73.95482",56,21
9572219,"40.82292,-73.95373",9,7
9572448,"40.69886,-73.94617",3,10
9573394,"40.65863,-73.98435",13,5
9573876,"40.71752,-73.99077",198,19
9574823,"40.72066,-73.95308",80,10
9574936,"40.76515,-73.9847",169,5
9574953,"40.71259,-73.96037",83,22
9575089,"40.66996,-73.94989",9,1
9575562,"40.71219,-73.94826",53,6
9575567,"40.65221,-73.96289",2,4
9575790,"40.76275,-73.92052",94,1
9575809,"40.6943,-73.95896",14,6
9575903,"40.67228,-73.9573",34,3
9575930,"40.80774,-73.95703",38,14
9575961,"40.7465,-74.0036",73,6
9576230,"40.7157,-73.96011",103,9
9576278,"40.68664,-73.92318",9,3
9576478,"40.80948,-73.94739",28,6
9576812,"40.81246,-73.94506",19,9
9577006,"40.73703,-73.85861",4,9
9577296,"40.74029,-74.00578",84,15
9577748,"40.80536,-73.96228",45,15
9577777,"40.73866,-74.00063",104,13
9577968,"40.67859,-73.96076",47,3
9578181,"40.74755,-73.98054",197,3
9578325,"40.67924,-73.98718",32,3
9578639,"40.77919,-73.94733",86,4
9578683,"40.71668,-73.98954",164,22
9578848,"40.67748,-73.96469",52,4
9579542,"40.76661,-73.98439",135,9
9580218,"40.73684,-73.98194",79,7
9585027,"40.74231,-73.97697",96,5
9585339,"40.75164,-74.00146",34,6
9586086,"40.63984,-73.97197",15,0
9586258,"40.68402,-73.96094",32,5
9587933,"40.78039,-73.95863",46,1
9588196,"40.70641,-73.92158",42,3
9588699,"40.81613,-73.94546",11,5
9588828,"40.78007,-73.94677",79,5
9588992,"40.69276,-73.92493",4,5
9589030,"40.69911,-73.92441",36,4
9589086,"40.69422,-73.94616",3,8
9589179,"40.72097,-73.99605",178,11
9590519,"40.75435,-73.96729",79,10
9590866,"40.81872,-73.94491",13,6
9591852,"40.72546,-74.00036",166,24
9591913,"40.68275,-73.96705",43,4
9592655,"40.81026,-73.95279",34,6
9592781,"40.69338,-73.97322",33,7
9593093,"40.80196,-73.95261",27,8
9594892,"40.72468,-74.00746",77,19
9594995,"40.82458,-73.95038",22,7
9595222,"40.67809,-73.97324",72,5
9595353,"40.74606,-73.98688",215,6
9595863,"40.7171,-73.95273",69,13
9596551,"40.79682,-73.94876",13,6
9596608,"40.7924,-73.97265",67,10
9596708,"40.75452,-73.99267",159,4
9596854,"40.67726,-73.95928",52,3
9597031,"40.70777,-73.898",29,1
9597111,"40.75429,-73.99198",172,4
9597258,"40.88165,-73.85625",1,1
9597325,"40.71382,-73.91282",7,4
9597627,"40.68125,-73.91272",4,6
9597629,"40.66519,-73.98264",41,4
9602518,"40.70721,-73.93957",12,4
9603611,"40.70831,-73.92095",21,3
9603803,"40.68777,-73.9387",9,4
9603991,"40.76769,-73.988",93,13
9605039,"40.78495,-73.9503",59,8
9606832,"40.72304,-73.95239",53,9
9607482,"40.7532,-73.96711",69,14
9607855,"40.7261,-74.00281",155,25
9607952,"40.70835,-74.00702",146,19
9607995,"40.72401,-73.98061",80,12
9609049,"40.71984,-73.95386",85,10
9609246,"40.74899,-73.97301",107,14
9609762,"40.80219,-73.96618",69,10
9609800,"40.83625,-73.93753",1,4
9609825,"40.74761,-73.99761",88,3
9610704,"40.73436,-73.99994",129,22
9610982,"40.80508,-73.96262",48,16
9611121,"40.66909,-73.95144",15,1
9611372,"40.68002,-73.99626",40,5
9611586,"40.74361,-73.99503",119,1
9612260,"40.6776,-74.0014",19,8
9612938,"40.83549,-73.93968",4,6
9613369,"40.78095,-73.98178",67,8
9613465,"40.79622,-73.97059",65,7
9613541,"40.77211,-73.92055",19,10
9613626,"40.70436,-73.93225",30,4
9614378,"40.75246,-73.97171",122,13
9614552,"40.68316,-73.99775",53,2
9614672,"40.76406,-73.98705",182,9
9614785,"40.6454,-74.00782",12,2
9614933,"40.70863,-73.95328",35,16
9614969,"40.79651,-73.93184",11,3
9615209,"40.74572,-73.95679",39,8
9615417,"40.68534,-73.95533",17,4
9615485,"40.76108,-73.95058",2,10
9615727,"40.70393,-73.9284",52,4
9615815,"40.74054,-73.97626",48,7
9616453,"40.80838,-73.95995",32,13
9616729,"40.68901,-73.95057",10,5
9617219,"40.66374,-73.91733",0,4
9618477,"40.72888,-73.98193",117,13
9618986,"40.67695,-73.91567",2,6
9619848,"40.79686,-73.9459",25,6
9623722,"40.80263,-73.94662",21,4
9624177,"40.70983,-73.96494",41,18
9625266,"40.76278,-73.97443",103,5
9625826,"40.66145,-73.96005",7,2
9625926,"40.68406,-73.99156",58,6
9627513,"40.80272,-73.95564",34,8
9628471,"40.68545,-73.95883",26,5
9630295,"40.68379,-73.94648",9,4
9630342,"40.72554,-73.9838",161,15
9631380,"40.7659,-73.98674",134,8
9631464,"40.79509,-73.96649",67,5
9633119,"40.71621,-73.93941",23,3
9633323,"40.75697,-73.91847",40,4
9633740,"40.72422,-73.98465",156,16
9633920,"40.66426,-73.94758",4,2
9634829,"40.80464,-73.95637",34,14
9634880,"40.68608,-73.93015",12,2
9635223,"40.68661,-73.91944",13,3
9635607,"40.6424,-73.91275",1,2
9635880,"40.73168,-73.95829",24,6
9635981,"40.65992,-73.98403",20,4
9637937,"40.72043,-73.98916",170,16
9644430,"40.68673,-73.95829",27,3
9644961,"40.71769,-73.9544",89,15
9645073,"40.73857,-73.98335",118,8
9645338,"40.66931,-73.9555",25,1
9645768,"40.72941,-74.00481",169,20
9645934,"40.71322,-73.83493",17,8
9646346,"40.7233,-73.98819",176,11
9646874,"40.72798,-73.95038",34,0
9647235,"40.7276,-73.85183",20,5
9647450,"40.61952,-73.96928",0,1
9649558,"40.69347,-73.967",36,7
9652170,"40.71205,-73.95787",64,22
9652365,"40.73419,-73.95905",24,5
9652413,"40.80407,-73.95762",31,15
9652438,"40.68781,-73.91695",10,2
9652591,"40.76561,-73.9248",56,1
9652949,"40.76112,-73.9146",54,2
9653005,"40.67629,-73.96208",56,3
9654190,"40.78494,-73.97663",89,6
9660635,"40.68736,-73.92369",10,4
9660751,"40.72316,-73.9844",149,14
9662070,"40.70435,-73.91646",44,0
9663062,"40.75806,-73.91345",24,5
9664497,"40.70433,-73.92652",46,3
9665709,"40.74391,-73.95461",39,8
9668485,"40.79479,-73.94919",15,7
9668948,"40.85,-73.93797",19,4
9669305,"40.72459,-73.99366",162,10
9670233,"40.72846,-73.98987",153,7
9674142,"40.76768,-73.90986",22,2
9674453,"40.76923,-73.91203",28,4
9674869,"40.76933,-73.91164",24,4
9674880,"40.7608,-73.9947",112,6
9675061,"40.7718,-73.94916",43,3
9675064,"40.63013,-73.90809",0,1
9675609,"40.70997,-73.94297",22,2
9676482,"40.68986,-73.95892",25,7
9676890,"40.70796,-73.95035",24,9
9677744,"40.82476,-73.9438",21,8
9677912,"40.69218,-73.93574",3,6
9678112,"40.71462,-73.94641",63,6
9678327,"40.71,-73.95507",54,21
9678488,"40.73702,-74.00633",96,20
9678870,"40.67632,-73.98116",73,4
9679058,"40.70794,-73.9566",24,18
9679278,"40.7005,-73.92814",44,3
9679289,"40.70633,-73.92231",42,3
9679310,"40.73429,-73.98689",109,6
9679337,"40.71436,-73.95421",90,18
9679935,"40.75328,-73.97212",134,13
9682617,"40.74695,-73.98062",200,3
9682862,"40.8241,-73.95259",16,7
9682898,"40.71211,-73.95949",70,24
9683486,"40.75965,-73.95125",3,9
9683691,"40.65373,-73.95535",6,2
