id,geom,amenities_500,subway_500,natural_500
26874261,"40.60832,-74.00858",9.0,0,0
26874326,"40.63601,-74.09102",1.0,0,1
26890426,"40.67851,-74.01005",13.0,0,1
26902983,"40.7772,-73.95134",114.0,0,0
26939704,"40.72624,-73.97733",30.0,0,3
26943105,"40.73696,-73.98783",119.0,0,2
26953399,"40.75595,-73.98326",186.0,3,22
26953727,"40.7557,-73.98375",180.0,3,22
26953759,"40.75776,-73.98352",187.0,3,13
26954041,"40.75745,-73.98309",192.0,3,18
26991755,"40.76363,-73.97452",101.0,0,10
26991807,"40.76326,-73.97474",100.0,0,10
27015594,"40.7648,-73.9767",101.0,1,13
27018478,"40.73793,-73.9974",94.0,1,1
27019732,"40.66309,-73.992958",23.0,0,0
27054756,"40.72045,-73.96012",65.0,0,2
27061752,"40.70727,-73.95337",22.0,0,0
27067725,"40.75422,-73.99259",158.0,3,0
27076007,"40.82801,-73.94258",14.0,1,0
27079708,"40.77403,-73.98512",40.0,1,3
27082137,"40.71994,-73.94323",22.0,0,0
27089541,"40.82429,-73.94602",22.0,0,0
27103176,"40.83038,-73.90071",0.0,0,0
27131400,"40.79125,-73.97329",72.0,1,1
27132347,"40.78981,-73.97251",80.0,1,1
27141455,"40.68,-73.94376",13.0,0,0
27160354,"40.72741,-73.95582",42.0,0,1
27247260,"40.74572,-73.86859",6.0,0,0
27266217,"40.8832,-73.84352",0.0,1,0
27273414,"40.74858,-73.82934",10.0,0,1
27278546,"40.77601,-73.98028",50.0,2,3
27278924,"40.72932,-73.99989",183.0,0,2
27290448,"40.74983,-73.82738",14.0,0,1
27299275,"40.74857,-73.82952",10.0,0,1
27312147,"40.74644,-73.89335",35.0,4,0
27329928,"40.74654,-73.90825",17.0,0,0
27341858,"40.75521,-73.90464",8.0,0,0
27371581,"40.58866,-73.81553",5.0,0,1
27393151,"40.74628,-73.83513",0.0,0,3
27394538,"40.6774,-74.00101",19.0,0,1
27430466,"40.80478,-73.95716",40.0,0,3
27439092,"40.81511,-73.93898",9.0,0,1
27441369,"40.68496,-73.81654",0.0,0,0
27467940,"40.72265,-73.98955",183.0,1,2
27503062,"40.86337,-73.92705",13.0,1,2
27521122,"40.85039,-73.94112",15.0,1,1
