id,geom,subway_500,natural_500
9777601,"40.72745,-73.98979",0,0
9777669,"40.85147,-73.93771",1,1
9777883,"40.82021,-73.95421",0,1
9778049,"40.78818,-73.96928",0,1
9778407,"40.69335,-73.93107",1,1
9778579,"40.71504,-73.98879",1,1
9778583,"40.68768,-73.92069",0,0
9778855,"40.69134,-73.90895",1,0
9778978,"40.82094,-73.95745",0,1
9779136,"40.67377,-73.95887",1,0
9779228,"40.73524,-73.98812",0,2
9779960,"40.68589,-73.91486",0,0
9785516,"40.79113,-73.96645",1,2
9785847,"40.71988,-73.95591",0,0
9786021,"40.63655,-73.95424",0,0
9786182,"40.81602,-73.94316",0,0
9786398,"40.67835,-73.96846",0,3
9786543,"40.68666,-73.92724",0,0
9786769,"40.79827,-73.97321",1,1
9787107,"40.79471,-73.93482",0,1
9787590,"40.80316,-73.95189",0,0
9787634,"40.77507,-73.94896",0,3
9788114,"40.82023,-73.92844",0,1
9788141,"40.80518,-73.95099",0,0
9789339,"40.65411,-73.95816",3,0
9789350,"40.77227,-73.94968",0,1
9790098,"40.80345,-73.95067",0,0
9790355,"40.73455,-74.00312",2,4
9790462,"40.66593,-73.95082",0,0
9790748,"40.7773,-73.95305",0,0
9790995,"40.73352,-73.98896",0,2
9791355,"40.7412,-73.98171",0,0
9791362,"40.71725,-73.96447",0,3
9792286,"40.72265,-73.98365",1,3
9792315,"40.77254,-73.92853",0,2
9792323,"40.75185,-73.97001",1,3
9792367,"40.67176,-73.93387",0,0
9792720,"40.76646,-73.99345",0,2
9793213,"40.71891,-73.96133",0,2
9793465,"40.79197,-73.94711",0,4
9793542,"40.7209,-74.00229",0,1
9793665,"40.71283,-73.9593",0,0
9793676,"40.76875,-73.96763",0,5
9794077,"40.72276,-73.94857",0,0
9794251,"40.72407,-73.98236",1,2
9794364,"40.8,-73.96404",0,2
9794402,"40.7609,-73.92288",0,0
9794825,"40.76339,-73.99404",0,1
9795890,"40.71561,-74.00642",3,5
9795958,"40.76223,-73.99296",1,2
9796155,"40.69084,-73.92075",0,0
9796737,"40.71282,-73.98448",0,2
9797293,"40.79617,-73.93452",0,1
9797510,"40.72939,-74.00225",2,2
9798242,"40.76576,-73.98383",1,6
9800247,"40.72955,-73.98058",0,4
9802654,"40.72935,-74.00064",1,2
9804243,"40.69027,-73.95021",0,0
9804299,"40.71776,-73.9605",0,2
9804368,"40.74566,-73.99989",1,0
9804516,"40.7682,-73.98467",1,2
9804814,"40.75287,-73.96708",1,5
9804849,"40.76278,-73.98178",1,13
9805128,"40.69184,-73.90593",1,0
9805274,"40.72248,-73.99481",0,2
9806373,"40.6576,-73.94609",0,0
9806634,"40.72288,-73.98454",1,3
9806799,"40.76681,-73.98365",1,5
9807059,"40.81047,-73.95735",0,1
9807758,"40.73564,-73.98611",0,2
9808151,"40.75134,-73.96807",1,3
9808637,"40.71197,-73.96061",0,0
9808859,"40.76565,-73.98587",1,3
9809458,"40.71907,-73.95434",0,0
9809784,"40.67815,-73.96823",0,3
9809911,"40.68441,-73.91625",0,0
9810235,"40.71819,-74.00833",1,2
9810271,"40.8226,-73.95468",0,1
9810506,"40.71775,-74.01509",1,2
9810696,"40.76385,-73.98669",1,4
9811274,"40.72974,-73.95163",0,0
9813364,"40.80145,-73.95428",0,2
9818465,"40.80761,-73.95841",0,3
9819018,"40.71209,-73.98794",0,2
9819164,"40.8216,-73.95583",0,1
9819437,"40.79502,-73.96703",1,1
9819545,"40.70657,-73.94234",0,0
9819589,"40.68579,-73.97455",3,0
9820053,"40.72688,-74.00058",0,2
9820308,"40.75992,-73.9879",1,1
9820483,"40.72246,-73.98006",0,2
9820533,"40.68259,-73.92358",0,0
9820968,"40.76379,-73.99378",0,1
9821359,"40.76125,-73.91008",0,0
9821370,"40.82391,-73.93881",1,1
9821408,"40.72792,-73.98718",0,2
9822032,"40.69557,-73.9315",2,1
9822110,"40.70179,-73.93689",1,0
9822635,"40.67239,-73.93225",0,0
9822738,"40.77641,-73.95505",0,0
9822983,"40.6733,-73.9647",0,3
9823085,"40.68786,-73.95019",0,0
9823636,"40.76057,-73.99038",1,1
9823806,"40.71481,-73.95475",1,0
9824042,"40.74423,-73.97742",0,1
9824463,"40.69452,-73.9284",1,1
9824613,"40.74195,-73.98242",0,2
9824682,"40.72691,-73.94802",0,0
9824807,"40.79982,-73.95375",0,2
9825420,"40.66817,-73.98774",4,0
9825939,"40.70663,-73.94701",0,0
9826062,"40.74852,-73.97521",2,2
9826081,"40.67534,-73.94958",0,0
9826494,"40.69573,-73.95345",0,0
9826628,"40.6913,-73.9406",0,0
9826822,"40.68752,-73.9567",0,0
9827236,"40.69224,-73.91834",0,0
9827941,"40.60596,-73.95672",2,0
9828004,"40.60666,-73.9575",2,0
9831392,"40.72126,-73.84542",1,0
9832827,"40.78442,-73.94722",0,1
9832882,"40.73393,-73.9982",1,2
9833212,"40.77633,-73.97932",2,5
9833953,"40.72804,-73.97638",0,4
9835402,"40.78333,-73.94996",0,0
9835950,"40.70848,-73.94584",1,0
9836020,"40.71982,-74.01134",0,1
9836642,"40.76487,-73.99143",0,2
9836940,"40.68735,-73.9196",0,0
9836960,"40.68535,-73.95036",1,0
9837205,"40.61634,-74.03378",0,2
9837588,"40.68307,-73.92894",0,0
9838053,"40.70311,-73.91264",2,0
9838145,"40.72451,-73.98369",0,3
9838585,"40.69237,-73.99412",0,4
9838832,"40.78763,-73.97204",0,1
9838920,"40.85509,-73.93236",2,1
9839017,"40.82545,-73.94969",0,1
9839263,"40.76036,-73.924",0,0
9839378,"40.72464,-73.98861",0,2
9839532,"40.71229,-73.95695",1,0
9839906,"40.587,-73.95588",0,0
9840355,"40.73113,-74.00314",2,2
9841191,"40.78528,-73.98091",0,1
9841695,"40.68777,-73.94793",0,0
9842117,"40.79088,-73.94261",0,1
9842363,"40.7088,-74.01455",5,22
9842492,"40.76542,-73.98702",1,3
9842780,"40.73238,-73.99517",1,1
9843277,"40.80638,-73.96245",0,4
9843634,"40.73528,-73.95647",0,2
9843884,"40.6682,-73.88541",0,0
9843892,"40.73307,-73.9835",0,4
9843956,"40.66044,-73.96114",1,6
9844047,"40.64689,-73.97446",0,0
9844161,"40.66112,-73.95462",0,0
9844482,"40.66201,-73.95352",0,0
9844509,"40.6626,-73.96003",1,12
9844805,"40.71032,-73.95345",1,0
9844892,"40.72969,-74.00117",2,2
9845284,"40.74251,-73.98414",0,2
9845314,"40.69923,-73.9308",2,0
9846114,"40.81192,-73.90949",0,0
9846616,"40.73145,-73.98384",0,2
9847917,"40.72608,-73.97843",0,3
9851704,"40.68004,-73.94628",0,0
9853674,"40.7665,-73.98675",1,3
9853884,"40.81536,-73.96246",0,1
9853919,"40.7243,-73.97684",0,3
9854420,"40.72767,-74.00344",0,2
9855028,"40.76482,-73.98216",1,9
9855043,"40.71813,-74.00509",1,3
9855273,"40.76667,-73.98341",1,5
9855566,"40.72612,-73.95113",0,0
9855876,"40.71813,-73.98715",1,3
9856683,"40.87045,-73.91765",0,1
9856995,"40.6882,-73.95471",0,0
9857249,"40.68394,-73.94678",0,0
9857658,"40.74387,-74.00134",0,0
9857920,"40.71454,-74.00816",5,6
9857967,"40.70888,-73.95622",1,0
9858259,"40.76993,-73.91762",0,0
9858642,"40.76704,-73.98153",1,5
9858645,"40.76457,-73.98525",1,5
9859181,"40.78274,-73.91318",0,3
9859888,"40.80728,-73.94987",0,0
9860190,"40.75943,-73.98302",2,10
9860571,"40.70848,-73.94945",1,0
9860670,"40.76064,-73.98554",1,4
9860948,"40.75864,-73.98197",2,12
9861196,"40.76105,-73.98638",1,3
9861323,"40.66854,-73.98482",4,0
9861747,"40.70629,-74.0098",8,6
9861797,"40.79322,-73.96726",1,2
9862199,"40.80383,-73.96793",0,2
9862831,"40.74443,-74.00259",0,0
9862872,"40.63266,-74.0284",0,0
9862913,"40.69431,-73.97316",0,0
9863097,"40.72522,-73.95124",0,0
9863626,"40.66891,-73.9533",0,0
