,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3,5136,"Spacious Brooklyn Duplex, Patio + Garden",7378,Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,275,5,2,08/08/21,0.02,1,123
8,6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65,30,0,,,2,365
9,6990,UES Beautiful Blue Room,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,62,30,234,04/07/21,1.82,1,309
10,7064,"Amazing location! Wburg. Large, bright & tranquil",17297,Joelle,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,90,27,9,31/08/15,0.07,2,271
25,13121,(E) RIGHT ON BUDGET,27848,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,75,2,70,06/09/21,0.8,4,365
29,14434,Private Bliss Art Space 2,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68777,-73.94976,Private room,70,30,59,31/07/15,0.56,2,342
46,18961,Cozy Studio in Great Location!,70857,Fabian,Manhattan,Kips Bay,40.73808,-73.98001,Private room,95,30,1,22/03/16,0.01,1,0
50,20717,Room in Brownstone B/Q feet away,78353,Guillaume,Brooklyn,Prospect Heights,40.6771,-73.97231,Private room,85,30,47,31/03/21,0.63,4,335
76,32329,Fully Furnished Beautiful 1 Bedroom,139853,Victor,Manhattan,East Village,40.72741,-73.98405,Entire home/apt,160,14,3,01/09/12,0.03,1,338
79,33156,"Sunny, Clean Zen Home w pr.Bath",128669,Alex,Manhattan,Upper West Side,40.78763,-73.96862,Entire home/apt,139,120,20,14/10/20,0.22,1,0
85,39572,1 br in a 2 br apt (Midtown West),169927,Hubert,Manhattan,Hell's Kitchen,40.76203,-73.98869,Private room,139,30,44,04/08/18,0.35,2,365
88,42300,Beautiful Lower East Side Loft,184755,Koray,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,500,5,63,22/08/21,0.58,1,220
91,43726,"Apartment in Tribeca, NYC Panoramic VIEWS~",191091,Ev,Manhattan,Tribeca,40.721,-74.00971,Entire home/apt,250,30,13,29/12/20,0.56,1,298
95,44461,Private  Bedroom,195137,James,Manhattan,Harlem,40.8227,-73.95111,Private room,116,5,49,28/09/21,0.36,6,32
96,44973,Creative South Williamsburg Studio,198411,Anastasia,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,98,30,123,31/08/21,1.06,1,122
99,45737,Amazing West Village Apt,203444,Dana,Manhattan,West Village,40.73948,-74.00504,Private room,60,30,24,10/10/21,0.18,1,361
101,45935,Room in Beautiful Townhouse.,204586,L,Bronx,Mott Haven,40.80635,-73.92201,Private room,60,30,0,,,1,83
105,47613,"BIG, COMFY ROOM W/YARD IN WILL-B",216191,M,Brooklyn,Williamsburg,40.7124,-73.94764,Private room,81,30,28,04/11/13,0.21,2,321
106,49048,B and B Style Rooms for Rent w bath,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,Private room,90,30,21,02/08/21,0.24,4,212
110,52689,Sunny Astoria 2BR near subway & restaurants,244071,Litza,Queens,Ditmars Steinway,40.77868,-73.90652,Entire home/apt,140,4,14,09/11/21,6.77,1,137
117,54694,(H) Great Deal/Pvt Rm,27848,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,65,30,62,08/10/17,0.46,4,0
132,60181,Sunny East Village Apartment with rooftop,128806,Sue,Manhattan,East Village,40.7253,-73.98028,Entire home/apt,195,45,37,04/09/18,0.56,1,279
140,62468,"Great Apt, Great Location",304081,Rodrigo,Manhattan,Upper West Side,40.79523,-73.9728,Entire home/apt,170,30,30,11/08/18,0.24,1,331
151,64361,East village one bedroom apartment,314562,Eleonore,Manhattan,East Village,40.72356,-73.97808,Entire home/apt,105,30,69,16/11/19,0.75,1,73
155,65425,Entire 2 Bedroom Apartment,314941,Tony,Manhattan,Nolita,40.72021,-73.99426,Entire home/apt,399,1,1,21/12/10,0.01,3,337
168,68253,Room in the heart of Astoria,67730,Boris,Queens,Astoria,40.76336,-73.92099,Private room,55,30,0,,,1,0
181,74438,Luxury HiRise XL 1BR Skyline views,391553,James,Manhattan,Hell's Kitchen,40.75523,-73.99792,Entire home/apt,299,30,52,23/09/14,0.41,1,0
183,74821,Deluxe Harlem 2 Bedroom,394640,Keith,Manhattan,Harlem,40.80874,-73.94926,Entire home/apt,149,30,47,04/09/18,0.47,1,77
186,77517,Room in Willyburg Loft (Only Long Stays),415660,Carmen,Brooklyn,Williamsburg,40.71407,-73.96657,Private room,100,28,3,23/07/12,0.02,3,365
201,87566,1 BR apt near Midtown Manhattan,479521,Mark,Queens,Long Island City,40.74575,-73.94686,Entire home/apt,75,30,12,31/08/21,0.11,1,8
211,99662,Your Cozy Home - Center of New York,524730,Oz,Manhattan,Lower East Side,40.72015,-73.99104,Entire home/apt,135,30,28,17/06/14,0.26,1,1
213,100368,Greenwich Village Brownstone -- Huge Private Deck,526105,Scott,Manhattan,Chelsea,40.74056,-74.00143,Entire home/apt,222,30,35,31/05/21,0.28,1,247
217,105790,Holiday special near Columbia Univ!,548817,Armand,Manhattan,Harlem,40.81919,-73.95443,Private room,80,30,144,08/06/19,1.49,1,90
226,113092,Rm in Beautiful Luxury Apt. Bldg,575906,San,Brooklyn,Fort Greene,40.6905,-73.97867,Private room,90,30,0,,,1,0
231,116551,Beautiful Harlem Studio Apartment - private access,497672,Cynthia And  Charlie,Manhattan,Harlem,40.80384,-73.95123,Entire home/apt,70,30,172,14/09/21,1.39,1,92
256,145801,Chic 1BR in Chelsea by the High Line & galleries,498734,Jeffrey,Manhattan,Chelsea,40.74853,-74.00241,Entire home/apt,295,2,29,28/04/19,0.23,1,348
260,149210,Windsor Terrace/Kensington,178440,Vincent,Brooklyn,Windsor Terrace,40.64847,-73.97573,Entire home/apt,150,21,4,25/07/18,0.09,1,338
262,149787,Full Floor Brownstone,722242,Nicholas,Manhattan,Harlem,40.81862,-73.94518,Entire home/apt,100,30,0,,,1,365
264,150989,"Sunlit 1 bedroom apt: Williamsburg, Brooklyn",727084,Daniela,Brooklyn,Williamsburg,40.71584,-73.96355,Entire home/apt,160,30,18,15/10/20,0.24,1,15
288,171562,Chelsea studio with balcony & views,60923,Omri,Manhattan,Chelsea,40.74937,-73.99467,Entire home/apt,225,12,22,25/10/21,0.23,1,10
289,172499,Beautiful UES Family Apartment,823006,Suzanne,Manhattan,Upper East Side,40.77969,-73.94726,Entire home/apt,250,365,26,02/01/19,0.47,1,362
309,191541,contemporary design in times sq,926539,Az,Manhattan,Hell's Kitchen,40.75876,-73.98869,Entire home/apt,450,30,55,05/12/18,0.45,1,365
316,198028,#7 train at your door/ next stop MIDTOWN,965976,Jaymes,Queens,Ditmars Steinway,40.77728,-73.91278,Shared room,50,75,16,13/07/13,0.13,1,96
319,201514,Litas New York Apartments - Analita's Suite,985846,Tere,Manhattan,Harlem,40.82553,-73.94511,Entire home/apt,150,30,1,05/10/17,0.02,1,365
329,208122,Fantastic Lower East Side Studio,1024248,Tyler,Manhattan,Lower East Side,40.72027,-73.98842,Entire home/apt,125,30,35,01/11/21,0.51,1,131
338,216080,Spacious & Sunny Safe Haven,17571,Jane,Brooklyn,Fort Greene,40.691208,-73.972771,Private room,175,2,104,28/11/21,1.66,2,342
344,222913,Cozy two bedroom in L.E.S.,1157620,Rachel,Manhattan,Lower East Side,40.71254,-73.98352,Entire home/apt,220,30,225,31/10/21,1.93,1,294
348,225354,charming alcove studio with balcony,1158300,Camila,Brooklyn,Williamsburg,40.71085,-73.96672,Entire home/apt,140,30,11,03/06/14,0.09,1,364
351,227495,Great studio apt near Central Park,959931,Kimball,Manhattan,Upper West Side,40.78764,-73.97274,Entire home/apt,110,30,103,01/09/21,0.91,1,57
357,231154,(D) BIG DEAL,27848,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,75,30,31,14/10/18,0.35,4,0
360,234330,Bright + Near Central Park + Columbia University!,148014,Bria,Manhattan,Harlem,40.80413,-73.95756,Entire home/apt,79,30,76,01/05/21,0.72,1,84
362,235281,Modern Luxury Apt- Lower East Side,1232627,Stefanie,Manhattan,Lower East Side,40.71887,-73.9864,Entire home/apt,180,30,21,29/04/17,0.18,1,0
363,235515,Welcoming Small Comfortable Room!,1234135,Santiago,Queens,Richmond Hill,40.70148,-73.82972,Private room,51,3,71,10/10/21,0.72,3,262
373,239934,Designer's 2 BR in the heart of the East Village,737845,Eric,Manhattan,East Village,40.73193,-73.98511,Entire home/apt,340,12,43,18/09/21,0.41,1,0
376,244649,"Upper West: Large room, one block to Subway!",1283659,Kurt,Manhattan,Upper West Side,40.79824,-73.96863,Private room,50,2,0,,,1,0
380,247562,ROOM WHITH PRÍVATE BATHROOM,1234135,Santiago,Queens,Richmond Hill,40.7012,-73.83151,Private room,56,3,31,30/11/21,0.35,3,250
384,249704,"Sunny, Modern 1 BR in Williamsburg",966806,Mary And Charles,Brooklyn,Williamsburg,40.71065,-73.94102,Entire home/apt,140,30,20,14/11/21,0.2,1,246
390,252865,"""BEST PLACE TO LIVE"" in NYC, North Park Slope",194457,Grace,Brooklyn,Prospect Heights,40.67882,-73.97224,Private room,55,30,5,08/10/14,0.2,1,0
412,258930,"Large, Art & Light Filled Apartment Downtown NYC",32613,Diana,Manhattan,Chinatown,40.71517,-73.99376,Entire home/apt,95,30,4,26/07/12,0.03,1,0
429,268335,Modern  Condo w/Luxury Amenities by McCarren Park,65610,Herman,Brooklyn,Williamsburg,40.72136,-73.95674,Entire home/apt,150,60,1,19/12/20,0.09,2,77
433,269404,"Master Bedroom Avaliable, Astoria",1411399,Carlos,Queens,Astoria,40.76716,-73.91177,Private room,99,30,19,22/10/14,0.16,4,365
446,274995,Spacious 1 bed near subways/park,1437621,Libby,Brooklyn,Crown Heights,40.66824,-73.9617,Entire home/apt,150,30,8,21/05/12,0.07,1,94
463,285515,SoHo Shopping Headquarters!,1486107,Annie,Manhattan,SoHo,40.72682,-74.00017,Entire home/apt,299,30,19,31/03/16,0.22,1,364
469,288726,Cozy Railroad Apt.,107853,Flo,Manhattan,Little Italy,40.719,-73.99764,Private room,109,4,58,07/09/21,0.84,1,0
473,290123,"6th Ave with Piano! Large 1-Bedroom, Furnished",639526,Sinem,Manhattan,Flatiron District,40.742886,-73.9907,Entire home/apt,149,30,5,01/08/21,0.05,2,336
477,292800,"Sunny, Quiet West Village/Meatpacking 1BR Gem",1515730,Lauren,Manhattan,West Village,40.73431,-74.00225,Entire home/apt,144,90,114,01/05/21,1.11,1,218
491,298782,Private single bed Room Wifi,1539749,Edward,Brooklyn,Bedford-Stuyvesant,40.68557,-73.94891,Private room,49,30,48,13/09/19,0.48,2,307
494,301372,room with very nice view in Brooklyn,1294674,Alex,Brooklyn,Fort Greene,40.6857,-73.97388,Private room,45,30,28,11/01/20,0.54,1,0
495,302238,GORGEOUS TWO BEDROOM FLAT IN MANHATTAN,1556814,Tammy,Manhattan,Harlem,40.80752,-73.94778,Entire home/apt,395,30,7,12/10/20,0.06,10,338
496,302280,FABULOUS 1 BEDROOM IN MANHATTAN,1556814,Tammy,Manhattan,Harlem,40.8058,-73.94759,Entire home/apt,250,30,8,22/08/20,0.15,10,247
497,302309,PLUSH AND SPACIOUS 2-BEDROOM IN NYC,1556814,Tammy,Manhattan,Harlem,40.80528,-73.94742,Entire home/apt,395,30,5,05/10/20,0.04,10,337
498,302705,Wonderful Room on the UES 2,1439222,Virginia,Manhattan,Upper East Side,40.77298,-73.95813,Private room,60,30,1,11/01/20,0.04,1,267
499,303264,FABULOUS & LARGE 2 BEDROOM IN NYC!,1556814,Tammy,Manhattan,Harlem,40.8073,-73.94575,Entire home/apt,395,30,7,08/10/12,0.06,10,338
501,305245,BEAUTIFUL 2-BEDROOM TOWNHOUSE NYC,1556814,Tammy,Manhattan,Harlem,40.80557,-73.94801,Entire home/apt,395,30,9,11/06/13,0.09,10,337
506,311316,Welcome to Harlem New York,1601454,Conrad,Manhattan,Harlem,40.80193,-73.95098,Private room,149,30,0,,,2,358
508,312415,Cool! Your Own Times Square Room!,1606133,George,Manhattan,Theater District,40.75672,-73.99003,Private room,104,4,59,26/12/16,0.66,1,61
513,319646,Bright and Cosy 2 Bedroom apt,1209728,Ashraf,Queens,Bayside,40.75537,-73.77159,Entire home/apt,100,3,1,08/11/21,1.0,1,332
520,323453,Brooklyn Design Loft,1118296,Nicole,Brooklyn,Williamsburg,40.70571,-73.93284,Entire home/apt,225,30,65,03/10/21,1.36,1,63
526,328788,Private Room in Williamsburg Loft!,1679238,Viveca,Brooklyn,Bedford-Stuyvesant,40.69897,-73.95002,Private room,70,2,94,25/09/21,0.81,3,0
542,363016,2 bdrm  Entire Furnished Apt.  (R),1834769,Debbie,Queens,Maspeth,40.72678,-73.90448,Entire home/apt,134,30,3,01/10/17,0.03,2,365
544,365439,cozy SoHo apt-great location,959239,Nancy,Manhattan,SoHo,40.72458,-74.00343,Private room,80,30,26,21/10/16,0.3,1,365
546,369409,TRAVELERS OASIS IN MID-TOWN MANHATTAN,1190019,Penny,Manhattan,Midtown,40.75822,-73.96329,Private room,57,30,220,31/10/21,1.9,1,285
555,386507,"Stylish, Cool Apt in Harlem",1934317,Serebe,Manhattan,Harlem,40.80872,-73.94327,Shared room,150,30,5,07/12/15,0.04,1,362
567,398850,One-Bedroom/Madison Square Garden,434632,Sonya,Manhattan,Chelsea,40.74854,-73.99626,Entire home/apt,275,30,47,21/06/16,0.54,2,364
