id,geom,subway_500,natural_500
3600108,"40.68744,-73.9747",3,0
3600496,"40.74596,-73.98411",2,2
3600518,"40.73389,-73.98724",0,2
3600961,"40.72974,-73.98372",0,4
3601324,"40.66529,-73.9557",0,0
3601743,"40.66884,-73.97575",0,0
3601900,"40.84943,-73.93146",1,1
3602534,"40.83473,-73.93982",0,1
3602739,"40.71445,-73.99287",1,2
3603134,"40.77487,-73.949",0,3
3603287,"40.72061,-73.99472",0,2
3603426,"40.68274,-73.91856",0,0
3604145,"40.69576,-73.94082",1,0
3605388,"40.66748,-73.92554",0,0
3605493,"40.75997,-73.90926",0,0
3605524,"40.74173,-73.97906",0,0
3605654,"40.7055,-74.00866",5,5
3605896,"40.84464,-73.9355",1,1
3608353,"40.64802,-73.97095",0,1
3609762,"40.77995,-73.78506",0,4
3611620,"40.692,-73.93852",0,0
3611813,"40.73755,-73.98595",0,3
3613161,"40.80465,-73.95365",0,1
3613839,"40.82544,-73.9402",1,1
3614113,"40.72966,-73.98515",0,3
3614159,"40.67426,-73.96586",0,1
3614680,"40.7638,-73.91622",0,0
3616001,"40.70883,-74.01266",5,20
3616003,"40.63981,-73.95712",0,0
3616173,"40.68184,-73.99308",0,1
3616527,"40.69741,-73.96942",0,1
3616946,"40.74016,-74.00049",0,2
3617498,"40.65554,-73.96046",2,1
3619399,"40.63631,-73.95313",0,0
3623158,"40.7946,-73.94105",0,1
3623201,"40.66981,-73.98462",4,1
3623946,"40.66748,-73.98971",4,0
3624205,"40.79319,-73.94209",0,1
3624380,"40.7942,-73.94136",0,1
3624387,"40.76481,-73.93163",0,2
3624653,"40.71286,-73.96244",0,2
3624952,"40.75193,-73.89085",0,0
3625075,"40.82279,-73.94947",0,0
3625117,"40.69217,-73.90768",1,0
3625870,"40.64894,-74.00621",0,0
3626302,"40.70554,-73.90729",2,0
3626426,"40.77274,-73.95732",0,0
3626609,"40.71749,-73.99016",1,3
3626699,"40.74365,-73.91632",0,1
3627106,"40.76385,-73.9905",0,1
3627326,"40.81954,-73.92715",0,1
3627589,"40.68599,-73.95182",0,0
3628190,"40.64372,-73.95969",2,0
3628328,"40.82603,-73.92312",0,0
3628553,"40.7229,-73.7462",0,0
3629217,"40.68779,-73.90521",1,0
3629381,"40.77242,-73.96212",0,2
3629580,"40.79032,-73.94523",0,1
3630304,"40.74269,-73.91518",0,1
3630309,"40.74493,-73.91528",0,1
3632258,"40.80309,-73.96367",0,2
3634361,"40.65413,-73.97684",0,1
3635348,"40.67927,-73.93208",0,0
3635624,"40.72138,-73.98371",1,2
3636601,"40.74994,-73.99612",1,1
3636967,"40.72705,-73.94033",0,1
3637029,"40.69942,-73.91209",2,0
3638841,"40.65046,-74.00402",0,1
3638852,"40.72135,-73.98",0,2
3641819,"40.6786,-73.96694",0,2
3642278,"40.68235,-73.99806",0,0
3642325,"40.58363,-73.93553",0,1
3642801,"40.6553,-73.95816",2,0
3643392,"40.68635,-73.93246",0,0
3643673,"40.68949,-73.92784",0,1
3644017,"40.77591,-73.9145",0,0
3644037,"40.63777,-74.02497",0,0
3645284,"40.76043,-73.95992",0,1
3645866,"40.63402,-73.97556",0,0
3646059,"40.71566,-73.941",0,0
3646551,"40.73568,-73.98062",0,4
3652120,"40.76073,-73.99215",1,1
3652230,"40.5903,-73.8143",0,0
3653996,"40.76882,-73.98699",1,3
3654510,"40.78698,-73.944",0,1
3654511,"40.7509,-73.96963",1,3
3655007,"40.88855,-73.85127",0,0
3655367,"40.6737,-73.95335",1,0
3659544,"40.76625,-73.99387",0,1
3660983,"40.71952,-73.94844",0,0
3661168,"40.71202,-73.96665",0,2
3662091,"40.73312,-73.99097",0,0
3662724,"40.77448,-73.96102",0,3
3662795,"40.62401,-73.95775",0,0
3662827,"40.72168,-73.99544",0,1
3662887,"40.7411,-73.98455",0,2
3662949,"40.76522,-73.99486",0,2
3663178,"40.67541,-73.94408",0,0
3663423,"40.68412,-73.95039",1,0
3663798,"40.70917,-73.94918",1,0
3663984,"40.77222,-73.95604",0,0
3664439,"40.74911,-73.98202",3,11
3664714,"40.73526,-73.95375",0,1
